Year,Lat.low,Lat.high,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,48.1666666667,55,0-200,0-200,0-200,0-200,0-150,0-150,0-150,0-150,0-200,0-200,0-200,0-200
2013,45.7666666667,48.1666666667,75-200,75-200,75-150,75-150,100-150,100-150,100-150,100-150,100-150,100-150,75-150,75-150
2013,40.1666666667,45.7666666667,75-200,75-200,75-200,75-200,100-200,100-200,100-200,100-200,100-200,100-200,75-200,75-200
2013,34.45,40.1666666667,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2013,10,34.45,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2012,48.1666666667,55,0-200,0-200,0-200,0-200,0-150,0-150,0-150,0-150,0-200,0-200,0-200,0-200
2012,45.7666666667,48.1666666667,75-200,75-200,75-150,75-150,100-150,100-150,100-150,100-150,100-150,100-150,75-150,75-150
2012,40.1666666667,45.7666666667,75-200,75-200,75-200,75-200,100-200,100-200,100-200,100-200,100-200,100-200,75-200,75-200
2012,34.45,40.1666666667,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2012,10,34.45,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2011,48.1666666667,55,0-200,0-200,0-200,0-200,0-150,0-150,0-150,0-150,0-200,0-200,0-200,0-200
2011,45.7666666667,48.1666666667,75-200,75-200,75-200,75-200,75-150,75-150,100-150,100-150,75-150,75-150,75-150,75-150
2011,40.1666666667,45.7666666667,75-200,75-200,75-200,75-200,75-200,75-200,100-200,100-200,75-200,75-200,75-200,75-200
2011,34.45,40.1666666667,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2011,10,34.45,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2010,48.1666666667,55,0-200,0-200,0-200,0-200,0-150,0-150,0-150,0-150,0-200,0-200,0-200,0-250
2010,45.7666666667,48.1666666667,75-200,75-200,75-200,75-200,75-250,75-250,100-150,100-150,75-200,75-200,75-200,75-250
2010,40.1666666667,45.7666666667,75-200,75-200,75-200,75-200,75-200,75-200,100-200,100-200,75-200,75-200,75-200,75-250
2010,34.45,40.1666666667,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2010,10,34.45,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2009,48.1666666667,55,0-200,0-200,0-200,0-200,0-150,0-150,0-150,0-150,0-200,0-200,0-200,0-200
2009,45.7666666667,48.1666666667,75-200,75-200,75-200,75-200,75-150,75-150,100-150,100-150,75-200,75-200,75-200,75-200
2009,40.1666666667,45.7666666667,75-200,75-200,75-200,75-200,75-200,75-200,100-200,100-200,75-200,75-200,75-200,75-200
2009,34.45,40.1666666667,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2009,10,34.45,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
2008,48.1666666667,55,0-200,0-200,0-200,0-200,0-150,0-150,0-150,0-150,0-150,0-150,0-200,0-200
2008,46.6361666667,48.1666666667,75-200,75-200,60-200,60-200,60-150,60-150,60-150,60-150,60-150,75-150,75-200,75-200
2008,46.2666666667,46.6361666667,75-200,75-200,60-200,60-200,60-200,60-200,60-150,60-150,60-150,75-150,75-200,75-200
2008,45.7666666667,46.2666666667,75-200,75-200,75-200,75-200,75-150,75-150,75-150,75-150,75-200,75-200,75-200,75-200
2008,43.3471666667,45.7666666667,75-200,75-200,75-200,75-200,75-200,75-200,75-200,75-200,75-200,75-200,75-200,75-200
2008,42.675,43.3471666667,0-200,0-200,0-200,0-200,0-200,0-200,0-200,0-200,0-200,0-200,0-200,0-200
2008,40.1666666667,42.675,75-200,75-200,75-200,75-200,60-200,60-200,60-200,60-200,60-200,75-200,75-200,75-200
2008,34.45,40.1666666667,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150,100-150
