"common_name","cpue_kg_per_ha_der","date_dim$full_date","date_dim$year","depth_m","field_identified_taxonomy_dim$scientific_name","latitude_dd","leg","longitude_dd","partition","pass","performance","project","sampling_end_hhmmss","sampling_start_hhmmss","scientific_name","station_code","statistical_partition_dim$statistical_partition_type","subsample_count","subsample_wt_kg","target_station_design_dim$stn_invalid_for_trawl_date_whid","total_catch_numbers","total_catch_wt_kg","trawl_id","vessel"
"darkblotched rockfish","","2008-08-23 00:00:00","2008","371.9000","Sebastes crameri","45.14666667","1","-124.74416667","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","8526","NA","13","16.0500","0","13","16.0500","200803008003","Excalibur"
"yelloweye rockfish","","2008-09-10 00:00:00","2008","146.9000","Sebastes ruberrimus","44.57500000","2","-124.58861111","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","9102","NA","1","0.7500","0","1","0.7500","200803008056","Excalibur"
"Pacific halibut","","2008-09-10 00:00:00","2008","146.9000","Hippoglossus stenolepis","44.57500000","2","-124.58861111","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Hippoglossus stenolepis","9102","NA","1","5.1500","0","1","5.1500","200803008056","Excalibur"
"darkblotched rockfish","","2008-10-02 00:00:00","2008","394.0000","Sebastes crameri","36.57916667","4","-122.02000000","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","14778","NA","1","0.6000","0","1","0.6000","200803008126","Excalibur"
"Pacific halibut","","2008-05-20 00:00:00","2008","143.8000","Hippoglossus stenolepis","48.16388889","1","-125.47638889","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Hippoglossus stenolepis","4905","NA","1","4.2000","0","1","4.2000","200803010014","Ms. Julie"
"Pacific halibut","","2008-06-02 00:00:00","2008","197.2000","Hippoglossus stenolepis","44.64194444","2","-124.70694444","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Hippoglossus stenolepis","9038","NA","1","5.4000","0","1","5.4000","200803017048","Noahs Ark"
"yelloweye rockfish","","2008-06-02 00:00:00","2008","197.2000","Sebastes ruberrimus","44.64194444","2","-124.70694444","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","9038","NA","3","5.9000","0","3","5.9000","200803017048","Noahs Ark"
"yelloweye rockfish","","2008-06-20 00:00:00","2008","147.8000","Sebastes ruberrimus","39.83333333","3","-124.07055556","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","12676","NA","3","3.6000","0","3","3.6000","200803017088","Noahs Ark"
"darkblotched rockfish","","2008-08-25 00:00:00","2008","301.6000","Sebastes crameri","47.92222222","1","-125.25944444","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","5264","NA","3","3.1000","0","3","3.1000","200803018013","Raven"
"darkblotched rockfish","","2009-07-06 00:00:00","2009","275.3000","Sebastes crameri","37.94138889","4","-123.44972222","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","13814","NA","1","0.2800","0","1","0.2800","200903010119","Ms. Julie"
"yelloweye rockfish","","2009-05-29 00:00:00","2009","121.1000","Sebastes ruberrimus","48.16527778","1","-125.13500000","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","4914","NA","4","8.0500","0","4","8.0500","200903017029","Noahs Ark"
"yelloweye rockfish","","2009-08-29 00:00:00","2009","121.5000","Sebastes ruberrimus","48.07305556","1","-125.40833333","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","5070","NA","2","10.2000","0","2","10.2000","200903018016","Raven"
"yelloweye rockfish","","2010-08-24 00:00:00","2010","107.0000","Sebastes ruberrimus","47.74583333","1","-124.91888889","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","5581","NA","2","1.3500","0","2","1.3500","201003008018","Excalibur"
"yelloweye rockfish","","2010-08-25 00:00:00","2010","138.2000","Sebastes ruberrimus","48.06194444","1","-125.14111111","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","5077","NA","9","40.1000","0","9","40.1000","201003008022","Excalibur"
"yelloweye rockfish","","2010-09-10 00:00:00","2010","124.5000","Sebastes ruberrimus","43.23611111","2","-124.63527778","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","10279","NA","1","3.1000","0","1","3.1000","201003008068","Excalibur"
"darkblotched rockfish","","2010-06-10 00:00:00","2010","314.5000","Sebastes crameri","43.50916667","2","-124.64250000","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","10075","NA","15","12.5500","0","15","12.5500","201003017066","Noahs Ark"
"Pacific halibut","","2010-06-10 00:00:00","2010","314.5000","Hippoglossus stenolepis","43.50916667","2","-124.64250000","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Hippoglossus stenolepis","10075","NA","1","5.4500","0","1","5.4500","201003017066","Noahs Ark"
"yelloweye rockfish","","2010-06-22 00:00:00","2010","178.1000","Sebastes ruberrimus","40.41027778","3","-124.58305556","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","12066","NA","4","8.8000","0","4","8.8000","201003017095","Noahs Ark"
"darkblotched rockfish","","2011-05-27 00:00:00","2011","179.9000","Sebastes crameri","46.69277778","1","-124.75944444","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","6899","NA","","","0","","13.3500","201103010030","Ms. Julie"
"darkblotched rockfish","","2012-09-17 00:00:00","2012","329.0000","Sebastes crameri","40.91361111","3","-124.46111111","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","11815","NA","39","36.8000","0","39","36.8000","201203008093","Excalibur"
"Pacific halibut","","2012-05-25 00:00:00","2012","144.5000","Hippoglossus stenolepis","48.03138889","1","-125.26277778","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Hippoglossus stenolepis","5120","NA","13","85.7500","0","13","85.7500","201203017016","Noahs Ark"
"yelloweye rockfish","","2012-09-02 00:00:00","2012","228.1000","Sebastes ruberrimus","44.47833333","2","-124.79805556","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes ruberrimus","9189","NA","1","2.5500","0","1","2.5500","201203017247","Noahs Ark"
"Pacific halibut","","2011-05-27 00:00:00","2011","179.9000","Hippoglossus stenolepis","46.69277778","1","-124.75944444","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Hippoglossus stenolepis","6899","NA","1","13.8500","0","1","13.8500","201103010030","Ms. Julie"
"darkblotched rockfish","","2011-05-28 00:00:00","2011","285.0000","Sebastes crameri","45.66222222","1","-124.60388889","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","7976","NA","26","23.9500","0","26","23.9500","201103017037","Noahs Ark"
"darkblotched rockfish","1.568678777855","2004-06-09 00:00:00","2004","228.6000","Sebastes crameri","45.97166667","2","-124.70222222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","063845","062145","Sebastes crameri","7651","NA","","","0","","2.9500","200403010044","Ms. Julie"
"Pacific halibut","2.402039843750","2005-09-09 00:00:00","2005","110.9000","Hippoglossus stenolepis","43.03000000","2","-124.59944444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","070751","064839","Hippoglossus stenolepis","10419","NA","","","0","","4.5000","200503018069","Raven"
"darkblotched rockfish","0.048779005758","2006-08-22 00:00:00","2006","173.1000","Sebastes crameri","48.39111111","1","-125.18277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","110828","105004","Sebastes crameri","4288","NA","1","0.1000","0","1","0.1000","200603018019","Raven"
"Pacific halibut","2.060274172490","2007-05-23 00:00:00","2007","178.9000","Hippoglossus stenolepis","47.69472222","1","-125.07861111","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","145510","143628","Hippoglossus stenolepis","5627","NA","","","0","","3.6500","200703017022","Noahs Ark"
"darkblotched rockfish","191.185314097611","2003-09-01 00:00:00","2003","276.1000","Sebastes crameri","46.71916667","1","-124.81861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","090148","084507","Sebastes crameri","6865","NA","100","96.2000","0","352","338.9000","200303003003","Blue Horizon"
"yelloweye rockfish","3.239883181397","2003-09-01 00:00:00","2003","172.6000","Sebastes ruberrimus","47.01416667","1","-124.98277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","160536","154538","Sebastes ruberrimus","6612","NA","5","6.3500","0","5","6.3500","200303003005","Blue Horizon"
"darkblotched rockfish","45.776119553862","2003-09-02 00:00:00","2003","267.3000","Sebastes crameri","47.57666667","1","-125.06222222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","142456","140459","Sebastes crameri","5830","NA","115","102.7000","0","115","102.7000","200303003009","Blue Horizon"
"Pacific halibut","2.660218100828","2003-09-02 00:00:00","2003","137.4000","Hippoglossus stenolepis","47.64055556","1","-124.94277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","183814","181930","Hippoglossus stenolepis","5733","NA","1","5.5000","0","1","5.5000","200303003010","Blue Horizon"
"darkblotched rockfish","0.286463933674","2003-09-03 00:00:00","2003","123.9000","Sebastes crameri","47.84111111","1","-125.01333333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","081635","075824","Sebastes crameri","5423","NA","4","0.6000","0","4","0.6000","200303003012","Blue Horizon"
"yelloweye rockfish","2.086765011003","2003-09-03 00:00:00","2003","174.2000","Sebastes ruberrimus","47.83888889","1","-125.10555556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","115148","113358","Sebastes ruberrimus","5420","NA","3","4.5000","0","3","4.5000","200303003013","Blue Horizon"
"darkblotched rockfish","0.857892282301","2003-09-03 00:00:00","2003","174.2000","Sebastes crameri","47.83888889","1","-125.10555556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","115148","113358","Sebastes crameri","5420","NA","7","1.8500","0","7","1.8500","200303003013","Blue Horizon"
"Pacific halibut","5.796569475009","2003-09-03 00:00:00","2003","174.2000","Hippoglossus stenolepis","47.83888889","1","-125.10555556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","115148","113358","Hippoglossus stenolepis","5420","NA","1","12.5000","0","1","12.5000","200303003013","Blue Horizon"
"yelloweye rockfish","5.742359985615","2003-09-05 00:00:00","2003","113.6000","Sebastes ruberrimus","48.32916667","1","-125.32444444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","092952","091337","Sebastes ruberrimus","4480","NA","5","10.0500","0","5","10.0500","200303003021","Blue Horizon"
"Pacific halibut","8.942082962674","2003-09-05 00:00:00","2003","113.6000","Hippoglossus stenolepis","48.32916667","1","-125.32444444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","092952","091337","Hippoglossus stenolepis","4480","NA","","","0","","15.6500","200303003021","Blue Horizon"
"Pacific halibut","1.780721066932","2003-09-06 00:00:00","2003","344.5000","Hippoglossus stenolepis","48.09250000","1","-125.03277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","083020","081052","Hippoglossus stenolepis","5032","NA","1","4.5000","0","1","4.5000","200303003025","Blue Horizon"
"Pacific halibut","0.956071900255","2003-09-06 00:00:00","2003","270.0000","Hippoglossus stenolepis","48.15611111","1","-125.11583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","132350","130510","Hippoglossus stenolepis","4915","NA","1","2.1000","0","1","2.1000","200303003026","Blue Horizon"
"Pacific halibut","4.704947555053","2003-09-06 00:00:00","2003","99.1000","Hippoglossus stenolepis","47.99777778","1","-124.95750000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","172602","170856","Hippoglossus stenolepis","5176","NA","1","9.0000","0","1","9.0000","200303003027","Blue Horizon"
"yelloweye rockfish","15.558899594908","2003-09-07 00:00:00","2003","160.2000","Sebastes ruberrimus","48.00277778","1","-125.22805556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","060839","055029","Sebastes ruberrimus","5169","NA","9","33.4000","0","9","33.4000","200303003028","Blue Horizon"
"Pacific halibut","7.523240372987","2003-09-07 00:00:00","2003","160.2000","Hippoglossus stenolepis","48.00277778","1","-125.22805556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","060839","055029","Hippoglossus stenolepis","5169","NA","","","0","","16.1500","200303003028","Blue Horizon"
"Pacific halibut","30.411145663302","2003-09-07 00:00:00","2003","214.7000","Hippoglossus stenolepis","48.07694444","1","-125.32472222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","153612","151652","Hippoglossus stenolepis","5072","NA","6","64.1000","0","6","64.1000","200303003030","Blue Horizon"
"Pacific halibut","81.633249187283","2003-09-08 00:00:00","2003","230.5000","Hippoglossus stenolepis","47.29555556","1","-124.88027778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","053655","051735","Hippoglossus stenolepis","6232","NA","24","205.9500","0","24","205.9500","200303003033","Blue Horizon"
"darkblotched rockfish","589.685772352132","2003-09-08 00:00:00","2003","230.5000","Sebastes crameri","47.29555556","1","-124.88027778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","053655","051735","Sebastes crameri","6232","NA","99","85.6000","0","1721","1487.7000","200303003033","Blue Horizon"
"Pacific halibut","9.641984876062","2003-09-08 00:00:00","2003","182.9000","Hippoglossus stenolepis","47.29250000","1","-124.76416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","120554","114812","Hippoglossus stenolepis","6236","NA","4","22.0000","0","4","22.0000","200303003034","Blue Horizon"
"darkblotched rockfish","10.277479333803","2003-09-08 00:00:00","2003","182.9000","Sebastes crameri","47.29250000","1","-124.76416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","120554","114812","Sebastes crameri","6236","NA","84","23.4500","0","84","23.4500","200303003034","Blue Horizon"
"darkblotched rockfish","15.633363034986","2003-09-13 00:00:00","2003","256.9000","Sebastes crameri","46.07472222","2","-124.71555556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","085303","083557","Sebastes crameri","7535","NA","62","32.4000","0","62","32.4000","200303003041","Blue Horizon"
"darkblotched rockfish","0.139410935009","2003-09-13 00:00:00","2003","142.2000","Sebastes crameri","45.95111111","2","-124.36527778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","144858","143058","Sebastes crameri","7660","NA","2","0.3000","0","2","0.3000","200303003042","Blue Horizon"
"darkblotched rockfish","1.500599556777","2003-09-13 00:00:00","2003","173.8000","Sebastes crameri","45.79111111","2","-124.52500000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","175925","174049","Sebastes crameri","7837","NA","17","3.8500","0","17","3.8500","200303003043","Blue Horizon"
"darkblotched rockfish","0.838676870603","2003-09-14 00:00:00","2003","164.1000","Sebastes crameri","45.09472222","2","-124.25972222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","175803","173749","Sebastes crameri","8575","NA","16","2.0000","0","16","2.0000","200303003048","Blue Horizon"
"darkblotched rockfish","1.909965261982","2003-09-15 00:00:00","2003","355.6000","Sebastes crameri","45.13750000","2","-124.51000000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","051559","045829","Sebastes crameri","8533","NA","5","3.8500","0","5","3.8500","200303003049","Blue Horizon"
"darkblotched rockfish","137.455591834935","2003-09-15 00:00:00","2003","312.5000","Sebastes crameri","45.12972222","2","-124.72666667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","081909","080015","Sebastes crameri","8527","NA","15","100.8000","0","51","339.9000","200303003050","Blue Horizon"
"Pacific halibut","13.841584787271","2003-09-15 00:00:00","2003","291.5000","Hippoglossus stenolepis","45.09027778","2","-124.70722222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","130058","124038","Hippoglossus stenolepis","8597","NA","2","32.0500","0","2","32.0500","200303003051","Blue Horizon"
"darkblotched rockfish","3.454997762813","2003-09-15 00:00:00","2003","291.5000","Sebastes crameri","45.09027778","2","-124.70722222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","130058","124038","Sebastes crameri","8597","NA","5","8.0000","0","5","8.0000","200303003051","Blue Horizon"
"darkblotched rockfish","0.441185890994","2003-09-16 00:00:00","2003","313.1000","Sebastes crameri","44.93166667","2","-124.48277778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","053459","051147","Sebastes crameri","8744","NA","3","1.0500","0","3","1.0500","200303003054","Blue Horizon"
"darkblotched rockfish","22.403507540026","2003-09-17 00:00:00","2003","410.5000","Sebastes crameri","44.45166667","2","-124.89305556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","093925","092233","Sebastes crameri","9217","NA","48","42.2500","0","48","42.2500","200303003060","Blue Horizon"
