"area_swept_ha_der","date_dim$year","date_yyyymmdd","depth_hi_prec_m","door_width_m_der","fluorescence_at_surface_mg_per_m3_der","invertebrate_weight_kg","latitude_dd","leg","longitude_dd","net_height_m_der","net_width_m_der","nonspecific_organics_weight_kg","o2_at_gear_ml_per_l_der","pass","performance","project","salinity_at_gear_psu_der","sampling_end_hhmmss","sampling_start_hhmmss","target_station_design_dim$stn_invalid_for_trawl_date_whid","temperature_at_gear_c_der","temperature_at_surface_c_der","trawl_id","turbidity_ntu_der","vertebrate_weight_kg","vessel"
"","2012","20120706","331.9186","","","0.960","35.19388889","4","-121.02027778","","","","","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","201203010155","","15.390","Ms. Julie"
"","2012","20120706","95.7881","","","23.900","34.79277778","4","-120.78722222","","","","","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","201203017160","","44.720","Noahs Ark"
"","2003","20031018","118.8720","","","","33.82333333","5","-119.94333333","","","","","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","200303008154","","","Excalibur"
"","2003","20030716","250.5456","","","","42.98833333","3","-124.86916667","","","","","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","200303006070","","","Captain Jack"
"1.837649506483","2003","20030729","79.9095","","","146.150","38.07694444","4","-123.12444444","4.9200","13.3391","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","171844","165751","0","9.0359","","200303006111","","557.302","Captain Jack"
"","2003","20030925","126.1872","","","","42.42055556","3","-124.71055556","","","","","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","064830","064503","0","","","200303008078","","","Excalibur"
"3.047135244951","2003","20030927","948.4094","","","57.172","41.48583333","3","-124.67027778","4.3594","14.6689","","","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","","171026","163902","0","3.6300","","200303008092","","243.465","Excalibur"
"1.651003550154","2003","20030730","63.6213","","","47.200","37.37694444","4","-122.55111111","4.8034","12.6741","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","181512","175742","0","10.0280","","200303010119","","120.480","Ms. Julie"
"1.821803050999","2004","20040906","131.7826","","","114.590","43.67444444","2","-124.46000000","5.2836","13.1227","","","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","","093341","091711","0","8.1160","","200403008067","","107.550","Excalibur"
"1.401464716125","2008","20080907","75.8226","","","88.680","44.99916667","2","-124.10833333","5.6162","12.4125","","1.6047","2","Satisfactory","Hypoxia Study","33.8597","143721","142309","0","7.5751","","200807008004","","37.390","Excalibur"
"1.562071384500","2008","20080907","91.9899","","","46.940","44.95361111","2","-124.14500000","4.9400","12.7875","","1.4972","2","Satisfactory","Hypoxia Study","33.9013","161106","155642","0","7.4649","","200807008005","","76.120","Excalibur"
"1.277165631786","2008","20080907","76.3140","","","207.190","44.87027778","2","-124.15083333","5.5622","12.2938","","1.5733","2","Satisfactory","Hypoxia Study","33.9105","175239","173827","0","7.4400","","200807008006","","52.630","Excalibur"
"1.469859638988","2008","20080907","91.0331","","","44.930","44.77222222","2","-124.24027778","5.1506","12.9714","","1.4905","2","Satisfactory","Hypoxia Study","33.9182","192235","190823","0","7.4772","","200807008007","","242.170","Excalibur"
"","2007","20070521","69.0973","","","","46.83750000","1","-124.39444444","","","","","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","200703010014","","","Ms. Julie"
"","2009","20090526","74.4407","","","8.900","46.96055556","1","-124.49472222","","","","","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","200903010011","","79.410","Ms. Julie"
"1.237391085609","2008","20080908","72.3656","","","27.910","44.51194444","2","-124.23916667","5.4167","12.2933","","1.4304","2","Satisfactory","Hypoxia Study","33.8617","071316","065910","0","7.5916","","200807008008","","100.530","Excalibur"
"1.305530042280","2008","20080908","73.4776","","","18.440","44.23333333","2","-124.25555556","5.5812","11.8857","","1.3991","2","Satisfactory","Hypoxia Study","33.8574","125730","124312","0","7.8108","","200807008009","","54.150","Excalibur"
"1.297006405982","2008","20080908","74.0644","","","14.770","44.30638889","2","-124.28361111","5.4033","12.3571","","1.4894","2","Satisfactory","Hypoxia Study","33.8699","144539","143139","0","7.7879","","200807008010","","87.730","Excalibur"
"","2005","20050925","236.2810","","","","37.30250000","3","-122.86666667","","","","","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","071759","070129","0","","","200503008135","","","Excalibur"
"","2005","20050929","56.6928","","","","36.11861111","4","-121.65944444","","","","","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","173415","172539","9498","","","200503008143","","","Excalibur"
"1.178599629000","2005","20051016","581.3504","","","33.170","33.65722222","5","-118.60166667","4.7383","13.7000","","","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","","071607","070355","0","5.9237","","200503008205","","20.270","Excalibur"
"1.530573696496","2005","20050531","136.0367","","","24.030","45.83416667","1","-124.27750000","5.6561","12.2648","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","181413","175743","0","6.9375","","200503010013","","235.640","Ms. Julie"
"1.453993788374","2005","20050606","135.9776","","","17.390","46.31750000","1","-124.46972222","5.6463","12.9553","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","132704","131116","0","6.2750","","200503010038","","489.030","Ms. Julie"
"1.582127724364","2005","20050619","304.9347","","","28.740","43.85527778","2","-124.80861111","5.1264","13.1566","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","093436","091824","0","6.5258","","200503010065","","241.990","Ms. Julie"
"1.369797968324","2005","20050708","102.4126","","","22.170","36.88055556","4","-122.17055556","5.7721","12.0196","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","111234","105622","0","9.1859","","200503010116","","95.330","Ms. Julie"
"2.142588915639","2005","20050723","1027.9281","","","11.000","32.93527778","5","-117.86750000","5.0145","13.8687","","","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","","104215","101451","0","4.0731","","200503010162","","92.640","Ms. Julie"
"","2008","20080520","143.8206","","","18.050","48.16388889","1","-125.47638889","","","","","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","200803010014","","69.350","Ms. Julie"
"","2004","20041010","137.1600","","","","33.72222222","5","-119.91777778","","","","","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","","0","","","200403008181","","","Excalibur"
